Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
02-07-18,Fine Organics,597.87,12.86,21.01,1.62,783.00,815.00,822.80,5.08,"3,521.60",349.76
21-05-18,Indostar Capita,1844,16.08,6.91,1.48,572.00,600.60,585.50,2.36,258.00,-54.90
05-04-18,ICICI Securitie,4016,0.54,0.05,0.39,520.00,435.00,444.90,-14.44,780.50,50.10
04-04-18,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,0.00,93.10,90.00,0,185.70,
28-03-18,Hindustan Aeron,4229,1.73,0.03,0.39,1215.00,1159.00,1128.35,-7.13,"1,362.10",12.11
27-03-18,Bandhan Bank,4473,38.67,13.89,1.20,375.00,485.00,477.20,27.25,296.95,-20.81
23-03-18,Bharat Dynamics,960.94,1.50,0.50,1.41,428.00,360.00,390.70,-8.71,387.30,-9.51
09-03-18,HG Infra Engg,457.7,8.37,4.97,3.08,270.00,270.00,270.05,0.02,617.50,128.70
26-02-18,Aster DM Health,980.14,2.10,0.55,1.18,190.00,182.00,179.85,-5.34,191.35,0.71
08-02-18,Galaxy Surfacta,937.09,54.67,6.96,6.00,1480.00,1525.00,1698.10,14.74,"2,951.45",99.42
30-01-18,Amber Enterpris,600,174.99,519.26,11.65,859.00,1175.00,1237.25,44.03,"3,300.10",284.18
29-01-18,Newgen Software,424.62,15.62,5.52,5.18,245.00,256.00,253.00,3.27,564.90,130.57
22-01-18,Apollo Micro Sy,156,101.93,958.07,40.19,275.00,478.00,454.10,65.13,110.90,-59.67
29-12-17,Astron Paper & ,70,103.35,396.99,77.93,50.00,120.75,119.70,139.4,50.15,0.30
18-12-17,Future Supply,649.69,12.36,11.15,3.28,664.00,674.00,685.80,3.28,66.50,-89.98
15-12-17,Shalby ,504.8,4.34,0.42,2.98,248.00,237.00,239.25,-3.53,141.05,-43.13
17-11-17,HDFC Life,8695.01,16.60,2.29,0.90,290.00,313.00,344.25,18.71,688.65,137.47
14-11-17,Khadim India,493.06,2.45,0.18,2.34,750.00,727.00,688.50,-8.2,264.60,-64.72
10-11-17,Mahindra Logist,829.36,15.61,2.07,6.11,429.00,425.00,429.15,0.03,730.90,70.37
06-11-17,Nippon,1542,118.41,209.44,5.23,252.00,289.00,284.00,12.7,387.50,53.77
25-10-17,General Insuran,11372,2.25,0.22,0.63,912.00,870.40,435.20,-52.28,142.35,-84.39
23-10-17,IEX,1000.7,2.56,0.85,2.61,1650.00,1500.00,162.65,-90.14,769.20,-53.38
16-10-17,Godrej Agrovet,1157.31,150.96,236.04,7.67,460.00,615.00,595.55,29.47,581.20,26.35
05-10-17,Prataap Snacks ,481.94,76.89,101.15,7.62,938.00,1250.00,1178.30,25.62,694.45,-25.96
03-10-17,SBI Life Insura,8400,12.56,0.70,0.81,700.00,735.00,708.00,1.14,"1,155.35",65.05
27-09-17,ICICI Lombard ,5700.94,8.93,0.83,1.23,661.00,651.00,681.55,3.11,"1,457.60",120.51
25-09-17,Capacite Infra,400,131.32,638.05,17.57,250.00,360.00,342.40,36.96,162.65,-34.94
21-09-17,Matrimony.com,501.07,1.88,0.41,18.16,985.00,985.00,901.20,-8.51,943.00,-4.26
18-09-17,Bharat Road Net,600.65,1.33,1.63,5.16,205.00,205.00,208.15,1.54,27.25,-86.71
18-09-17,Dixon Technolog,599.28,134.66,345.62,9.46,1766.00,2725.00,578.56,-67.24,"5,071.70",187.19
04-09-17,Apex Frozen,152.25,1.91,7.82,8.53,175.00,202.00,209.85,19.91,274.85,57.06
11-08-17,Cochin Shipyard,1454,63.51,288.87,8.12,432.00,461.00,522.00,20.83,354.75,-17.88
10-08-17,SIS,362.25,5.64,1.65,18.67,815.00,875.00,378.35,-53.58,507.50,-37.73
25-07-17,Salasar Techno ,35.87,0.00,487.18,58.59,108.00,259.45,272.10,151.94,252.90,134.17
10-07-17,AU Small Financ,1912.51,78.77,143.51,3.52,358.00,544.00,541.20,51.17,"1,191.80",232.91
04-07-17,GTPL Hathway,484.8,1.48,2.48,0.99,170.00,170.00,171.65,0.97,258.00,51.76
30-06-17,CDSL,523.99,148.71,563.03,23.83,149.00,250.00,261.60,75.57,"1,432.45",861.38
29-06-17,Eris Life,1741.1,4.68,0.45,3.51,603.00,612.00,601.05,-0.32,742.50,23.13
27-06-17,Tejas Networks,326.69,2.16,0.48,3.10,257.00,257.70,263.30,2.45,425.00,65.37
06-06-17,IndiGrid InvIT ,2250,1.14,1.60,0.00,100.00,99.70,95.08,-4.92,140.60,40.60
29-05-17,PSP Projects,211.68,8.38,10.39,6.47,210.00,195.00,208.95,-0.5,490.00,133.33
19-05-17,HUDCO,1224,55.45,330.36,10.79,58.00,76.50,72.50,25,40.45,-30.26
09-05-17,S Chand and Co,325,44.27,204.65,6.07,670.00,675.85,675.85,0.87,112.00,-83.28
05-04-17,Shankara Buildi,232.96,51.62,90.68,15.35,460.00,545.00,632.80,37.57,548.80,19.30
31-03-17,CL Educate,238.95,3.65,0.21,1.63,500.00,398.00,208.95,-58.21,119.90,-76.02
21-03-17,Avenue Supermar,1870,144.61,277.74,7.30,299.00,604.00,640.75,114.3,"4,829.00",1515.05
17-03-17,Music Broadcast,488.53,39.78,109.13,9.85,333.00,413.00,59.70,-82.07,23.15,-93.05
03-02-17,BSE Limited,1243,48.64,159.03,6.48,806.00,1085.00,1069.20,32.66,"1,534.25",90.35
19-12-16,Laurus Labs,560.7,10.54,3.57,1.58,428.00,489.90,96.10,-77.55,474.80,10.93
09-12-16,Sheela Foam,178.5,14.51,3.35,0.44,730.00,860.00,1032.00,41.37,"3,146.50",331.03
08-11-16,Varun Beverages,1114,4.94,0.42,0.82,445.00,430.00,205.29,-53.87,911.00,104.72
07-11-16,PNB Housing Fin,3000,37.33,86.17,1.32,775.00,860.00,890.60,14.92,454.95,-41.30
19-10-16,Endurance Techn,1161,1.70,0.13,0.82,472.00,572.00,647.70,37.22,"1,662.70",252.27
04-10-16,HPL Electric & ,361,5.77,22.20,3.31,202.00,190.00,189.05,-6.41,61.50,-69.55
29-09-16,ICICI Prudentia,6057,11.83,28.55,1.42,334.00,329.00,297.65,-10.88,622.00,86.23
27-09-16,GNA Axles,130.41,17.18,217.47,11.84,207.00,252.00,233.45,12.78,708.00,242.03
23-09-16,L&T Technology,900,5.01,1.03,1.74,860.00,900.00,865.10,0.59,"5,345.00",521.51
31-08-16,RBL Bank,1100,85.08,198.06,5.70,225.00,274.40,299.30,33.02,193.45,-14.02
12-08-16,S P Apparels,215,1.00,0.45,0.54,268.00,275.00,295.00,10.07,366.20,36.64
11-08-16,Dilip Buildcon,430,0.00,0.00,0.00,219.00,240.00,251.95,15.05,524.20,139.36
01-08-16,Advanced Enzyme,60,94.03,393.10,11.67,896.00,1210.00,235.66,-73.7,325.55,-63.67
21-07-16,L&T Infotech,1242,19.91,10.76,7.39,710.00,667.00,697.65,-1.74,"6,830.40",862.03
12-07-16,Quess Corp,400,59.02,392.21,31.23,317.00,500.00,503.00,58.68,916.00,188.96
01-07-16,Mahanagar Gas,1039.64,72.84,191.61,6.82,421.00,540.00,519.90,23.49,939.95,123.27
19-05-16,Parag Milk Food,764.3,1.15,3.08,2.12,215.00,230.00,247.80,15.26,134.40,-37.49
10-05-16,Ujjivan Financi,358.16,33.84,135.45,4.02,210.00,231.90,231.60,10.29,139.10,-33.76
09-05-16,Thyrocare Techn,479.21,73.18,225.30,8.73,446.00,662.00,618.10,38.59,"1,123.80",151.97
21-04-16,Equitas Holding,2159,14.93,57.29,1.40,110.00,145.10,135.25,22.95,114.55,4.14
01-04-16,Bharat Wire Rop,70,1.01,2.02,2.08,45.00,47.25,45.40,0.89,56.70,26.00
18-02-16,Quick Heal Tech,450,4.34,36.69,3.82,321.00,305.00,254.45,-20.73,218.05,-32.07
12-02-16,TeamLease Ser.,273.68,26.97,185.24,10.61,850.00,860.00,1021.95,20.23,"3,832.00",350.82
08-02-16,Precision Camsh,410,2.62,0.73,2.01,186.00,165.00,177.25,-4.7,106.55,-42.72
06-01-16,Narayana Hruda,613,0.01,0.01,0.13,250.00,291.00,336.70,34.68,589.00,135.60
23-12-15,Alkem Lab,1349.6,57.19,129.96,3.17,1050.00,1380.00,1381.45,31.57,"3,285.25",212.88
23-12-15,Dr Lal PathLab,638,63.56,61.28,4.24,550.00,717.00,824.15,49.85,"3,469.30",530.78
16-11-15,S H Kelkar,200,0.00,0.00,0.00,180.00,216.00,207.30,15.17,153.70,-14.61
10-11-15,Interglobe Avi,3000,17.80,3.57,0.92,765.00,868.00,878.45,14.83,"2,162.80",182.72
02-11-15,Coffee Day,1150,4.39,0.54,0.90,328.00,313.00,270.15,-17.64,35.55,-89.16
21-09-15,Prabhat Dairy,300,0.88,1.42,0.34,115.00,113.00,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,425,3.04,1.66,1.69,103.00,111.00,106.15,3.06,13.40,-86.99
10-09-15,Shree Pushkar,70,0.97,2.09,1.54,65.00,60.05,63.00,-3.08,207.60,219.38
10-09-15,Pennar Eng,156.19,0.00,0.04,0.11,178.00,177.95,157.50,-11.52,63.85,-64.13
09-09-15,Navkar Corp,600,6.47,0.90,1.62,155.00,152.00,166.40,7.35,39.40,-74.58
26-08-15,Power Mech,273.22,27.53,133.22,3.42,640.00,600.00,585.75,-8.48,925.00,44.53
11-08-15,Syngene Intl,550,51.47,90.24,4.78,250.00,295.00,155.20,-37.92,600.10,140.04
09-07-15,Manpasand Bever,400,1.99,0.38,1.16,320.00,291.00,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,488,4.51,0.65,0.28,378.00,381.00,72.04,-80.94,303.10,-19.81
14-05-15,UFO Moviez,600,4.49,1.17,1.02,625.00,600.00,598.80,-4.19,104.65,-83.26
06-05-15,MEP Infra,324,1.02,1.51,0.97,63.00,63.00,60.95,-3.25,20.90,-66.83
30-04-15,VRL Logistics,473.88,58.22,250.86,7.92,205.00,288.00,293.30,43.07,431.15,110.32
09-04-15,Inox Wind,700,35.68,35.38,2.15,325.00,400.00,438.00,34.77,124.00,-61.85
06-04-15,Imagicaaworld,467,1.17,0.49,1.37,180.00,167.95,191.25,6.25,10.97,-93.91
19-03-15,Ortel Comm,240,1.01,0.09,0.39,181.00,181.00,171.95,-5,1.32,-99.27
19-12-14,Monte Carlo,342.28,13.96,1.71,6.96,645.00,585.00,566.40,-12.19,564.05,-12.55
01-10-14,Shemaroo Ent,120,5.69,8.64,7.79,170.00,180.00,171.00,0.59,134.00,-21.18
23-09-14,Sharda Crop,352,32.06,251.35,5.85,156.00,254.10,231.45,48.37,313.40,100.90
12-09-14,Snowman Logist,197.4,16.98,221.79,41.26,47.00,75.00,78.75,67.55,39.65,-15.64
09-05-14,Wonderla,181.25,16.71,159.04,7.56,125.00,164.75,157.60,26.08,219.00,75.20
05-06-13,Just Dial,950,10.12,22.34,3.53,530.00,590.00,611.45,15.37,705.00,33.02
01-04-13,Repco Home,270.38,3.39,0.35,0.51,172.00,159.95,160.85,-6.48,278.75,62.06
28-12-12,INDUS TOWERS,4533.6,2.84,0.10,0.06,220.00,200.00,191.20,-13.09,291.60,32.55
27-12-12,PC Jeweller,609.3,7.33,18.12,1.68,135.00,137.00,74.50,-44.81,22.80,-83.11
26-12-12,CARE Ratings,539.98,45.80,110.96,6.18,750.00,940.00,923.95,23.19,631.70,-15.77
06-12-12,Tara Jewels,0,1.49,3.10,2.05,230.00,242.00,229.95,-0.02,0.76,-99.67
18-07-12,VKS Projects,55,1.15,0.38,1.13,55.00,55.80,1.57,-97.15,0.04,-99.93
30-05-12,Speciality Rest,181.96,4.68,2.19,0.55,150.00,153.00,160.65,7.1,96.00,-36.00
09-05-12,Tribhovandas,210,1.29,1.91,0.68,120.00,115.00,111.20,-7.33,79.95,-33.38
12-04-12,MT Educare,99,6.01,8.00,2.17,80.00,86.05,90.35,12.94,7.80,-90.25
12-04-12,NBCC (India),127.2,7.07,1.70,3.40,106.00,100.00,6.47,-93.9,42.35,-60.05
28-03-12,Olympic Cards,25,0.00,3.43,1.36,30.00,29.95,28.50,-5,3.42,-88.60
09-03-12,MCX India,663.31,49.12,150.35,24.14,1032.00,1387.00,1297.05,25.68,"1,730.50",67.68
02-11-11,Indo Thai Secu,33.6,0.00,0.02,3.31,74.00,76.00,23.00,-68.92,125.95,70.20
24-10-11,Vaswani Ind,49,0.16,11.29,6.82,49.00,33.45,17.75,-63.78,13.50,-72.45
20-10-11,Ujaas Energy,93,1.03,1.56,2.35,186.00,180.00,31.76,-82.92,2.93,-98.42
19-10-11,Taksheel Solut,82.5,0.24,4.70,6.18,150.00,157.40,58.15,-61.23,3.85,-97.43
19-10-11,Flexituff Ventu,104.63,0.51,1.55,1.55,155.00,155.00,166.40,7.35,16.55,-89.32
17-10-11,Onelife Capital,36.85,1.02,0.93,2.32,110.00,115.00,145.90,32.64,17.40,-84.18
04-10-11,Setubandhan Inf,60,0.31,2.76,4.68,138.00,145.00,22.95,-83.37,1.29,-99.07
26-09-11,PG Electroplast,120.65,0.98,1.84,1.64,210.00,200.00,411.65,96.02,493.20,134.86
16-09-11,SRS,227.5,0.74,5.00,0.29,58.00,55.00,16.83,-70.98,0.19,-99.67
08-09-11,TD Power System,227,6.52,0.32,0.36,256.00,251.60,274.80,7.34,372.60,45.55
05-09-11,Brooks Labs,63,0.00,2.82,3.36,100.00,110.00,50.20,-49.8,101.95,1.95
26-08-11,Tree House,112.06,1.02,1.68,2.76,135.00,132.80,116.55,-13.67,8.47,-93.73
12-08-11,L&T Finance,1245,1.93,6.18,9.61,52.00,53.85,46.46,-10.65,78.95,51.83
04-08-11,Inventure Grow,81.9,0.25,9.49,8.66,117.00,119.00,5.20,-95.56,2.42,-97.93
28-07-11,Bharatiya Glob,55.1,0.00,1.94,5.06,82.00,84.00,30.95,-62.26,3.25,-96.04
13-07-11,Kridhan Infra,34.75,0.03,1.37,4.18,108.00,115.00,13.29,-87.69,4.75,-95.60
07-07-11,Rushil Decor,40.64,0.23,1.35,6.57,72.00,81.25,104.49,45.12,311.25,332.29
07-07-11,Birla Pacific,65.18,1.04,0.17,1.82,10.00,10.10,25.35,153.5,0.28,-97.20
22-06-11,Timbor Home,23.25,0.65,3.22,14.22,63.00,72.00,91.20,44.76,2.21,-96.49
14-06-11,VMS Industries,25.75,0.00,1.11,3.41,40.00,43.95,28.50,-28.75,11.49,-71.28
27-05-11,Dr Datson Labs,120,0.14,2.65,1.84,234.00,218.00,311.25,33.01,6.29,-97.31
23-05-11,Sanghvi Forging,36.9,0.00,1.82,2.93,85.00,88.00,111.75,31.47,16.50,-80.59
13-05-11,Innoventive Ind,219.58,0.85,1.94,1.48,117.00,110.00,93.60,-20,4.20,-96.41
12-05-11,Servalakshmi,60,0.34,4.21,1.90,29.00,30.00,19.00,-34.48,1.33,-95.41
10-05-11,Future Consumer,750,0.26,7.81,0.61,10.00,9.50,8.30,-17,6.77,-32.30
09-05-11,Paramount Print,45.83,0.33,3.28,9.31,35.00,35.00,26.65,-23.86,0.82,-97.66
06-05-11,Muthoot Finance,901.25,25.01,60.94,8.50,175.00,176.45,176.25,0.71,"1,545.70",783.26
08-04-11,Shilpi Cable,55.88,1.04,6.39,5.74,69.00,78.35,23.80,-65.51,1.10,-98.41
30-03-11,PTC India Fin,438.76,2.85,0.22,1.18,28.00,28.00,24.90,-11.07,18.85,-32.68
24-03-11,Lovable Lingeri,93.28,21.87,99.87,20.84,205.00,261.50,249.20,21.56,133.20,-35.02
11-03-11,Fineotex Chem,30.32,0.00,0.22,4.38,70.00,80.00,14.09,-79.87,113.55,62.21
11-03-11,Sudar Ind,69.98,0.17,4.47,2.27,77.00,74.00,113.10,46.88,1.02,-98.68
10-03-11,Acropetal Tech,170,1.12,2.00,1.21,90.00,130.00,98.45,9.39,1.67,-98.14
10-02-11,Omkar Special,79.38,0.82,5.27,9.90,98.00,95.00,46.20,-52.86,33.35,-65.97
20-01-11,C Mahendra Expo,165,1.02,3.92,4.82,110.00,111.00,55.43,-49.61,1.79,-98.37
30-12-10,Punjab & Sind,480,49.80,22.91,8.38,120.00,146.10,127.05,5.87,16.50,-86.25
23-12-10,A2Z Infra Eng,675,0.70,4.25,0.33,400.00,390.00,328.90,-17.78,5.24,-98.69
20-12-10,Claris Life,300,1.31,2.03,1.60,228.00,224.40,205.85,-9.71,396.55,73.93
15-12-10,MOIL,1260,0.00,0.00,0.00,375.00,551.00,233.25,-37.8,170.25,-54.60
06-12-10,RPP Infra Proj,48.75,0.16,7.27,5.60,75.00,75.00,52.00,-30.67,52.00,-30.67
16-11-10,Gravita India,45,6.04,182.52,37.34,125.00,218.75,42.08,-66.34,193.05,54.44
04-11-10,Coal India,15475,24.70,25.40,2.31,245.00,300.00,342.35,39.73,150.70,-38.49
27-10-10,BS Limited,197.36,0.52,3.16,1.04,248.00,251.00,18.93,-92.37,0.33,-99.87
27-10-10,Gyscoal Alloys,54.67,1.54,33.44,8.00,71.00,76.60,8.16,-88.51,2.30,-96.76
27-10-10,Prestige Estate,1200,4.32,0.24,0.08,183.00,190.00,192.55,5.22,442.80,141.97
20-10-10,Oberoi Realty,1028.61,22.15,3.61,0.94,260.00,280.00,282.95,8.83,887.15,241.21
18-10-10,Commercial Eng,172.41,3.68,0.34,0.38,127.00,122.80,112.25,-11.61,31.90,-74.88
14-10-10,Ashoka Buildcon,225,25.52,13.91,3.46,324.00,333.55,73.33,-77.37,99.55,-69.27
14-10-10,Bedmutha Ind,91.8,0.67,29.19,8.51,102.00,114.40,180.80,77.25,48.20,-52.75
14-10-10,Sea TV Network,50.2,1.66,40.94,7.45,100.00,120.00,106.00,6,6.19,-93.81
13-10-10,Va Tech Wabag,472.6,36.13,100.98,8.55,1310.00,1655.00,341.88,-73.9,338.60,-74.15
12-10-10,Cantabil Retail,105,1.71,3.83,2.63,135.00,133.80,104.75,-22.41,618.00,357.78
12-10-10,Tecpro Systems,268.03,27.99,62.48,9.07,355.00,399.40,407.85,14.89,4.53,-98.72
08-10-10,Ramky Infra,530,4.52,1.45,0.99,450.00,450.00,387.35,-13.92,143.10,-68.20
08-10-10,Orient Green,900,2.09,0.64,0.18,47.00,45.70,44.90,-4.47,7.49,-84.06
08-10-10,Electrosteel St,0,5.86,28.58,6.19,11.00,11.15,11.25,2.27,31.05,182.27
06-10-10,Career Point,115,47.45,101.93,31.74,310.00,461.00,632.35,103.98,139.05,-55.15
06-10-10,Eros Intl,350,25.79,73.40,11.95,175.00,213.55,190.05,8.6,18.05,-89.69
05-10-10,Sasta Sundar,147.5,5.91,35.88,11.04,118.00,135.10,110.90,-6.02,511.65,333.60
01-10-10,Tirupati Inks,51.5,1.78,23.18,12.59,43.00,53.95,36.65,-14.77,1.59,-96.30
